ID,text,target
ynat-v1_train_00000,부산국제코미디페스티벌에 참여합니다,4
ynat-v1_train_00001,폭로전·삿대질·고성·몸싸움…막장 치닫는 바른미래당,3
ynat-v1_train_00002,이주의 뉴스키워드 블랙리스트·가상화폐·권력기관,2
ynat-v1_train_00003,갤노트8 주말 27만대 개통…시장은 불법 보조금 얼룩,5
ynat-v1_train_00004,금융발전심의회 전체회의,6
ynat-v1_train_00005,美성인 6명 중 1명꼴 배우자·연인 빚 떠안은 적 있다,0
ynat-v1_train_00006,제주국제합창축제 개막,1
ynat-v1_train_00007,아가메즈 33득점 우리카드 KB손해보험 완파…3위 굳...,4
ynat-v1_train_00008,朴대통령 얼마나 많이 놀라셨어요…경주 지진현장 방문종합,6
ynat-v1_train_00009,듀얼심 아이폰 하반기 출시설 솔솔…알뜰폰 기대감,4
ynat-v1_train_00010,차의과학대 현대그린푸드·현대백화점과 사회공헌협약 체결,5
ynat-v1_train_00011,NH투자 1월 옵션 만기일 매도 우세,1
ynat-v1_train_00012,황총리 각 부처 비상대비태세 철저히 강구해야,2
ynat-v1_train_00013,적극행정 다짐하는 방송통신위원회,4
ynat-v1_train_00014,전통공연예술진흥재단 연희예술단체에 재공연 지원,2
ynat-v1_train_00015,게시판 KISA 박민정 책임연구원 APTLD 이사 선출,0
ynat-v1_train_00016,공사업체 협박에 분쟁해결 명목 돈 받은 언론인 집행유예,3
ynat-v1_train_00017,월세 전환에 늘어나는 주거비 부담…작년 역대 최고치,5
ynat-v1_train_00018,학원비도 카톡으로…카카오페이 결제시스템 출시,0
ynat-v1_train_00019,페이스북 인터넷 드론 아퀼라 실물 첫 시험비행 성공,2
ynat-v1_train_00020,추신수 타율 0.265로 시즌 마감…최지만은 19홈런·6...,1
ynat-v1_train_00021,답변하는 강수진 국립발레단장,1
ynat-v1_train_00022,한국디지털뉴스협회장에 양상우 한겨레 사장,3
ynat-v1_train_00023,아시안게임 목소리 높인 박항서 베트남이 일본 못 이길...,6
ynat-v1_train_00024,서울에 다시 오존주의보…도심·서북·동북권 발령종합,1
ynat-v1_train_00025,피서는 동해안으로…강원지역 해수욕장 개장,3
ynat-v1_train_00026,엘살바도르 베네수엘라 외교관 추방…베네수엘라도 맞대응,5
ynat-v1_train_00027,국정원 北사이버테러 현실화되고 있다…내일 긴급대책회의,4
ynat-v1_train_00028,내일 남북고위급회담…정상회담 일정·장소 정해질 듯종합,1
ynat-v1_train_00029,안산·대구·대전·부여에서 노후 공공건축물 리뉴얼 사업,1